framework,date,questions
angularjs,2010-07-01 - 2010-08-01,0
angularjs,2012-10-01 - 2012-11-01,287
angularjs,2010-12-01 - 2011-01-01,0
meteor,2011-08-01 - 2011-09-01,0
meteor,2012-01-01 - 2012-02-01,0
meteor,2010-09-01 - 2010-10-01,0
meteor,2011-03-01 - 2011-04-01,0
meteor,2010-11-01 - 2010-12-01,0
meteor,2014-01-01 - 2014-02-01,343
meteor,2014-03-01 - 2014-04-01,428
meteor,2012-07-01 - 2012-08-01,64
meteor,2010-01-01 - 2010-02-01,0
meteor,2011-02-01 - 2011-03-01,0
meteor,2011-09-01 - 2011-10-01,0
meteor,2010-03-01 - 2010-04-01,0
meteor,2013-02-01 - 2013-03-01,164
meteor,2010-02-01 - 2010-03-01,0
meteor,2011-06-01 - 2011-07-01,0
meteor,2010-04-01 - 2010-05-01,0
meteor,2014-02-01 - 2014-03-01,325
meteor,2013-07-01 - 2013-08-01,221
meteor,2012-03-01 - 2012-04-01,0
meteor,2010-10-01 - 2010-11-01,0
meteor,2011-11-01 - 2011-12-01,0
meteor,2011-01-01 - 2011-02-01,0
meteor,2012-06-01 - 2012-07-01,61
meteor,2012-09-01 - 2012-10-01,37
meteor,2012-12-01 - 2013-01-01,111
meteor,2011-04-01 - 2011-05-01,0
meteor,2010-08-01 - 2010-09-01,0
meteor,2011-05-01 - 2011-06-01,0
meteor,2013-09-01 - 2013-10-01,171
meteor,2012-05-01 - 2012-06-01,87
meteor,2014-09-01 - 2014-10-01,472
meteor,2013-04-01 - 2013-05-01,180
meteor,2012-04-01 - 2012-05-01,129
meteor,2014-06-01 - 2014-07-01,312
meteor,2014-07-01 - 2014-08-01,348
meteor,2010-05-01 - 2010-06-01,0
meteor,2013-01-01 - 2013-02-01,184
meteor,2013-12-01 - 2014-01-01,285
meteor,2013-06-01 - 2013-07-01,207
meteor,2013-08-01 - 2013-09-01,235
meteor,2013-10-01 - 2013-11-01,212
meteor,2013-05-01 - 2013-06-01,179
meteor,2011-12-01 - 2012-01-01,0
meteor,2012-11-01 - 2012-12-01,108
meteor,2014-04-01 - 2014-05-01,359
meteor,2011-10-01 - 2011-11-01,0
meteor,2010-06-01 - 2010-07-01,0
meteor,2013-11-01 - 2013-12-01,242
meteor,2013-03-01 - 2013-04-01,220
meteor,2012-02-01 - 2012-03-01,0
meteor,2011-07-01 - 2011-08-01,0
meteor,2012-08-01 - 2012-09-01,81
meteor,2014-05-01 - 2014-06-01,353
meteor,2014-08-01 - 2014-09-01,390
meteor,2010-07-01 - 2010-08-01,0
meteor,2012-10-01 - 2012-11-01,89
meteor,2010-12-01 - 2011-01-01,0
knockout.js,2011-08-01 - 2011-09-01,65
knockout.js,2012-01-01 - 2012-02-01,109
knockout.js,2010-09-01 - 2010-10-01,0
knockout.js,2011-03-01 - 2011-04-01,16
knockout.js,2010-11-01 - 2010-12-01,5
knockout.js,2014-01-01 - 2014-02-01,416
knockout.js,2014-03-01 - 2014-04-01,389
knockout.js,2012-07-01 - 2012-08-01,253
knockout.js,2010-01-01 - 2010-02-01,0
knockout.js,2011-02-01 - 2011-03-01,12
knockout.js,2011-09-01 - 2011-10-01,77
knockout.js,2010-03-01 - 2010-04-01,0
knockout.js,2013-02-01 - 2013-03-01,381
knockout.js,2010-02-01 - 2010-03-01,0
knockout.js,2011-06-01 - 2011-07-01,42
knockout.js,2010-04-01 - 2010-05-01,0
knockout.js,2014-02-01 - 2014-03-01,439
knockout.js,2013-07-01 - 2013-08-01,422
knockout.js,2012-03-01 - 2012-04-01,209
knockout.js,2010-10-01 - 2010-11-01,3
knockout.js,2011-11-01 - 2011-12-01,78
knockout.js,2011-01-01 - 2011-02-01,11
knockout.js,2012-06-01 - 2012-07-01,244
knockout.js,2012-09-01 - 2012-10-01,218
knockout.js,2012-12-01 - 2013-01-01,306
knockout.js,2011-04-01 - 2011-05-01,18
knockout.js,2010-08-01 - 2010-09-01,0
knockout.js,2011-05-01 - 2011-06-01,29
knockout.js,2013-09-01 - 2013-10-01,365
knockout.js,2012-05-01 - 2012-06-01,226
knockout.js,2014-09-01 - 2014-10-01,284
knockout.js,2013-04-01 - 2013-05-01,487
knockout.js,2012-04-01 - 2012-05-01,189
knockout.js,2014-06-01 - 2014-07-01,322
knockout.js,2014-07-01 - 2014-08-01,300
knockout.js,2010-05-01 - 2010-06-01,0
knockout.js,2013-01-01 - 2013-02-01,381
knockout.js,2013-12-01 - 2014-01-01,396
knockout.js,2013-06-01 - 2013-07-01,421
